category,Brand,title,price,original-price,id,f-Assured,Free delivery,Special Offer,Sorted by,start_url
shirt ,Sushil Garments,Women Regular Fit Solid Mandarin Collar Casual Shirt,159,699,SHTFU7EPUBUMYBYC,f_Assured,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,BhartiTrend,Women Regular Fit Solid Spread Collar Casual Shirt,259,999,SHTG9DA37SWXHS9F,f_Assured,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,RUKUZ,Men Regular Fit Printed Casual Shirt,175,499,SHTGE2UXVHKBHP3H,,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,R V DIGITAL PRINT,Men Regular Fit Self Design Festive Shirt,224,899,SHTGDB6MNTMRCYTZ,,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,ShreeFashionStore,Men Regular Fit Striped Beach Wear Shirt,224,899,SHTGEGYJZVHZANXW,,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,Sidha Apparels,Women Slim Fit Solid Spread Collar Formal Shirt,189,799,SHTGCKANFRXPVAYB,f_Assured,,"Buy 2 items, save extra 5%",price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,FORELEVY,Women Regular Fit Solid Spread Collar Formal Shirt,164,999,SHTFDGZ97QSZGXE8,f_Assured,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,GSA MALL,Women Slim Fit Self Design Casual Shirt,164,699,SHTGDK7CZG76HGMN,,,Deal of the Day,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,R V DIGITAL PRINT,Men Regular Fit Self Design Festive Shirt,224,899,SHTGDB6HFGCME6SW,,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,GSA MALL,Women Slim Fit Self Design Casual Shirt,164,699,SHTGDK7C5J6CRWCJ,,,Deal of the Day,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,Aashi Fashions,Women Slim Fit Solid Formal Shirt,169,599,SHTG72S33VZEVQFU,f_Assured,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,Riaash,Men NA Fit Solid Casual Shirt,183,599,SHTGEJD3JCP6FM9T,,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,SFGARMENTS,Women Regular Fit Dyed Spread Collar Formal Shirt,169,999,SHTG6S8DZKRYSDDC,,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,Amadore,Women Regular Fit Printed Casual Shirt,169,"1,199",SHTFZ3PJZCR3MNHA,f_Assured,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,SAYMAN CREATION,Men Regular Fit Solid Formal Shirt,184,"1,399",SHTG8YSYAUQ9UGEZ,,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,ShadowFashion,Women Regular Fit Embroidered Casual Shirt,173,999,SHTGB33BRDZQPWH4,f_Assured,,Deal of the Day,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,R V DIGITAL PRINT,Men Regular Fit Self Design Casual Shirt,179,899,SHTGDB6MT4FD3PR4,,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
shirt ,R V DIGITAL PRINT,Men Slim Fit Printed Casual Shirt,199,899,SHTGDCZZZM69HSBF,,,,price_asc,https://www.flipkart.com/search?q=shirt &sort=price_asc
tshirt,DEAL PLAYER,Printed Men Round Neck White T-Shirt,205,599,TSHG4R9V9ATAFGM2,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Tee town,Graphic Print Men Round Neck Gold T-Shirt,82,895,TSHGEFGEY7JHNJ29,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Tee town,"Printed Men Round Neck Yellow, Black T-Shirt",82,850,TSHGY5GYUXH94BXU,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Tee town,Graphic Print Men Round Neck Gold T-Shirt,82,895,TSHGEFGDYGSFHYX2,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
tshirt,Tee town,Printed Men Round Neck Yellow T-Shirt,82,999,TSHGY5HFR9AZWWNW,,,,price_asc,https://www.flipkart.com/search?q=tshirt&sort=price_asc
